Step,Molecular_DeepEnsemble_Fluorescence_Oscillator_Strength_vbll_20250511_205913 - best_value,Molecular_Laplace_BO_Fluorescence_Oscillator_Strength_20250511_180255 - best_value,BLOB_EnsembleMolecular_BLOB_Fluorescence_Oscillator_Strength_20250510_150000 - best_value,Molecular_VBLL_Fluorescence_Oscillator_Strength_dense_precision_multirank_20250510_144157 - best_value,Molecular_BLOB_Fluorescence_Oscillator_Strength_dense_precision_multirank_20250509_161822 - best_value,Molecular_Laplace_BO_Fluorescence_Oscillator_Strength_20250510_150511 - best_value,Molecular_Laplace_BO_Fluorescence_Oscillator_Strength_20250509_153216 - best_value,Molecular_BLOB_Fluorescence_Oscillator_Strength_dense_precision_multirank_20250508_191313 - best_value,ibnn-Fluorescence_Oscillator_Strength - best_value,dkl-Fluorescence_Oscillator_Strength - best_value,gp-Fluorescence_Oscillator_Strength - best_value,Molecular_DeepEnsemble_Fluorescence_Oscillator_Strength_vbll_20250513_083430 - best_value,ibnn-Fluorescence_Oscillator_Strength - best_value,dkl-Fluorescence_Oscillator_Strength - best_value,gp-Fluorescence_Oscillator_Strength - best_value,ibnn-Fluorescence_Oscillator_Strength - best_value,dkl-Fluorescence_Oscillator_Strength - best_value,gp-Fluorescence_Oscillator_Strength - best_value,Fluorescence_Oscillator_Strength_mlp_20250513_164104 - best_value,Fluorescence_Oscillator_Strength_mlp_20250513_163615 - best_value,Molecular_VBLL_Fluorescence_Oscillator_Strength_dense_precision_multirank_20250512_234400 - best_value
50,-3.348348233,-2.282729513,-2.753679535,-2.939969402,-3.090082915,-2.576275157,-1.763827553,-3.860707275,-2.062798965,-2.828841562,-3.360618324,-3.067614655,-2.062798965,-2.828841562,-3.360618324,-2.062798965,-2.828841562,-3.360618324,-3.082579144,-3.756197898,-4.017986295
51,-3.348348233,-2.282729513,-2.753679535,-2.939969402,-3.090082915,-2.576275157,-1.968707314,-3.860707275,-2.062798965,-2.828841562,-3.360618324,-3.067614655,-2.062798965,-2.828841562,-3.360618324,-2.062798965,-2.828841562,-3.360618324,-3.082579144,-3.756197898,-4.017986295
52,-3.348348233,-2.282729513,-2.753679535,-2.939969402,-3.090082915,-2.576275157,-1.968707314,-3.860707275,-2.062798965,-2.828841562,-3.360618324,-3.067614655,-2.062798965,-2.828841562,-3.360618324,-2.062798965,-2.828841562,-3.360618324,-3.082579144,-3.756197898,-4.017986295
53,-3.348348233,-2.282729513,-2.753679535,-2.939969402,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.062798965,-2.828841562,-3.360618324,-3.067614655,-2.062798965,-2.828841562,-3.360618324,-2.062798965,-2.828841562,-3.360618324,-3.082579144,-3.756197898,-4.017986295
54,-3.348348233,-2.282729513,-2.753679535,-2.939969402,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.062798965,-2.828841562,-3.360618324,-3.067614655,-2.062798965,-2.828841562,-3.360618324,-2.062798965,-2.828841562,-3.360618324,-3.082579144,-3.756197898,-4.017986295
55,-3.348348233,-2.282729513,-2.753679535,-2.939969402,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.062798965,-2.828841562,-3.360618324,-3.067614655,-2.062798965,-2.828841562,-3.360618324,-2.062798965,-2.828841562,-3.360618324,-3.082579144,-3.756197898,-4.017986295
56,-3.348348233,-2.282729513,-2.753679535,-2.939969402,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.062798965,-2.828841562,-3.360618324,-3.067614655,-2.062798965,-2.828841562,-3.360618324,-2.062798965,-2.828841562,-3.360618324,-3.082579144,-3.756197898,-4.017986295
57,-3.348348233,-2.282729513,-2.753679535,-2.939969402,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.062798965,-2.828841562,-3.360618324,-3.067614655,-2.062798965,-2.828841562,-3.360618324,-2.062798965,-2.828841562,-3.360618324,-3.082579144,-3.756197898,-4.017986295
58,-3.519556459,-2.282729513,-2.753679535,-3.004210927,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.062798965,-2.828841562,-3.458286537,-3.067614655,-2.062798965,-2.828841562,-3.458286537,-2.062798965,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
59,-3.519556459,-2.425931919,-2.753679535,-3.004210927,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.062798965,-2.828841562,-3.458286537,-3.067614655,-2.062798965,-2.828841562,-3.458286537,-2.062798965,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
60,-3.519556459,-2.425931919,-2.753679535,-3.004210927,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.062798965,-2.828841562,-3.458286537,-3.067614655,-2.062798965,-2.828841562,-3.458286537,-2.062798965,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
61,-3.519556459,-2.425931919,-2.753679535,-3.004210927,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.062798965,-2.828841562,-3.458286537,-3.067614655,-2.062798965,-2.828841562,-3.458286537,-2.062798965,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
62,-3.519556459,-2.425931919,-2.753679535,-3.004210927,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.421823596,-2.828841562,-3.458286537,-3.067614655,-2.421823596,-2.828841562,-3.458286537,-2.421823596,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
63,-3.519556459,-2.425931919,-2.753679535,-3.004210927,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.421823596,-2.828841562,-3.458286537,-3.067614655,-2.421823596,-2.828841562,-3.458286537,-2.421823596,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
64,-3.519556459,-2.425931919,-2.753679535,-3.004210927,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.421823596,-2.828841562,-3.458286537,-3.067614655,-2.421823596,-2.828841562,-3.458286537,-2.421823596,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
65,-3.519556459,-2.425931919,-2.753679535,-3.004210927,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.421823596,-2.828841562,-3.458286537,-3.067614655,-2.421823596,-2.828841562,-3.458286537,-2.421823596,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
66,-3.519556459,-2.425931919,-2.753679535,-3.004210927,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.421823596,-2.828841562,-3.458286537,-3.067614655,-2.421823596,-2.828841562,-3.458286537,-2.421823596,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
67,-3.519556459,-2.425931919,-2.753679535,-3.004210927,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.421823596,-2.828841562,-3.458286537,-3.067614655,-2.421823596,-2.828841562,-3.458286537,-2.421823596,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
