Step,BLOB_EnsembleMolecular_BLOB_Gsol_20250512_041334 - best_value,Molecular_Laplace_BO_Gsol_20250511_180607 - best_value,Molecular_VBLL_Gsol_dense_precision_multirank_20250510_145035 - best_value,ibnn-Gsol - best_value,dkl-Gsol - best_value,gp-Gsol - best_value,Molecular_VBLL_Gsol_dense_precision_multirank_20250510_040825 - best_value,ibnn-Gsol - best_value,dkl-Gsol - best_value,gp-Gsol - best_value,Molecular_Laplace_BO_Gsol_20250509_163244 - best_value,ibnn-Gsol - best_value,dkl-Gsol - best_value,gp-Gsol - best_value,Molecular_Laplace_BO_Gsol_20250509_153306 - best_value,Molecular_BLOB_Gsol_dense_precision_multirank_20250508_183330 - best_value
78,-1.15683315,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
79,,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
80,-1.15683315,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
81,,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
82,-1.15683315,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
83,,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.09188288,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
84,-1.15683315,-1.11596373,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.09188288,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
85,,-1.11596373,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.09188288,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
86,-1.15683315,-1.11596373,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.09188288,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
87,,-1.11596373,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.09188288,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
88,-1.15683315,-1.11596373,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.09188288,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
89,,-1.11596373,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.09188288,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
90,-1.15683315,-1.11596373,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.09188288,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
91,,-1.11596373,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.09188288,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
92,-1.18847838,-1.11596373,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.09188288,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
93,,-1.11596373,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.09188288,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
94,-1.18847838,-1.11596373,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.09188288,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
95,,-1.11596373,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.09188288,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
96,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.09188288,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
97,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
98,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
99,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
100,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
101,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
102,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
103,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
104,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
105,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
106,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
107,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
108,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
109,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
110,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
111,,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
112,-1.18847838,-1.18847838,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.18847838,-1.12007244,-1.11386856,-1.15683315,-1.1145216,-1.12007244,-1.11386856,-1.15683315,-1.15683315,-1.18847838
