Step,BLOB_EnsembleMolecular_BLOB_score_20250511_224436 - best_value,Molecular_Laplace_BO_score_20250510_150719 - best_value,Molecular_VBLL_score_dense_precision_multirank_20250510_145147 - best_value,ibnn-score - best_value,dkl-score - best_value,gp-score - best_value,Molecular_Laplace_BO_score_20250510_150719 - best_value,Molecular_VBLL_score_dense_precision_multirank_20250510_035401 - best_value,BLOB_EnsembleMolecular_BLOB_score_20250509_220013 - best_value,Molecular_Laplace_BO_score_20250509_153118 - best_value,Molecular_BLOB_score_dense_precision_multirank_20250508_190040 - best_value,BLOB_EnsembleMolecular_BLOB_score_20250511_224436 - best_value,ibnn-score - best_value,dkl-score - best_value,gp-score - best_value,Molecular_DeepEnsemble_score_std_20250512_233817 - best_value,Molecular_DeepEnsemble_score_std_20250512_171001 - best_value
107,,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.9,,-9.5,-9.7,-9.5,,
108,-9.8,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,-9.9,-9.8,-9.9,,-9.5,-9.7,-9.5,,
109,,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.9,,-9.5,-9.7,-9.5,,
110,-9.8,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,-9.9,-9.8,-9.9,,-9.5,-9.7,-9.5,,
111,,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.9,,-9.5,-9.7,-9.5,,
112,-9.8,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,-9.9,-9.8,-9.9,,-9.5,-9.7,-9.5,,
113,,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.9,,-9.5,-9.7,-9.5,,
114,-9.8,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,-9.9,-9.8,-9.9,,-9.5,-9.7,-9.5,,
115,,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.9,,-9.5,-9.7,-9.5,,
116,-9.8,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,-9.9,-9.8,-9.9,,-9.5,-9.7,-9.5,,
117,,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.9,,-9.5,-9.7,-9.5,,
118,-9.8,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,-9.9,-9.8,-9.9,,-9.5,-9.7,-9.5,,
119,,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.9,,-9.5,-9.7,-9.5,,
120,-9.8,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,-9.9,-9.8,-9.9,,-9.5,-9.7,-9.5,,
121,,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.9,,-9.5,-9.7,-9.5,,
122,-9.8,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,-9.9,-9.8,-9.9,,-9.5,-9.7,-9.5,,
123,,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.9,,-9.5,-9.7,-9.5,,
124,-9.8,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,-9.9,-9.8,-9.9,,-9.5,-9.7,-9.5,,
125,,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.9,,-9.5,-9.7,-9.5,,
126,-9.8,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,-9.9,-9.8,-9.9,,-9.5,-9.7,-9.5,,
127,-9.8,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.9,,-9.5,-9.7,-9.5,,
